Name,Team,Position,Age,Height,Height_i,Weight,College,Salary
Juhann Begarin,Boston Celtics,SG,19,"6' 5""",6.5,185,nan,nan
Jaylen Brown,Boston Celtics,SG,24,"6' 6""",6.6,223,California,26758928
Kris Dunn,Boston Celtics,PG,27,"6' 3""",6.3,205,Providence,5005350
Carsen Edwards,Boston Celtics,PG,23,"5' 11""",5.11,200,Purdue,1782621
Tacko Fall,Boston Celtics,C,25,"7' 5""",7.5,311,UCF,nan
Bruno Fernando,Boston Celtics,F,23,"6' 9""",6.9,240,Maryland,1782621
Al Horford,Boston Celtics,C,35,"6' 9""",6.9,240,Florida,27000000
Enes Kanter,Boston Celtics,C,29,"6' 10""",6.1,250,Kentucky,1669178
Luke Kornet,Boston Celtics,C,26,"7' 2""",7.2,250,Vanderbilt,nan
Romeo Langford,Boston Celtics,SG,21,"6' 4""",6.4,216,Indiana,3804360
Aaron Nesmith,Boston Celtics,SF,21,"6' 5""",6.5,215,Vanderbilt,3631200
Jabari Parker,Boston Celtics,PF,26,"6' 8""",6.8,245,Duke,2283034
Payton Pritchard,Boston Celtics,PG,23,"6' 1""",6.1,195,Oregon,2137440
Josh Richardson,Boston Celtics,SG,27,"6' 5""",6.5,200,Tennessee,11615328
Dennis Schroder,Boston Celtics,PG,27,"6' 3""",6.3,172,nan,5890000
Marcus Smart,Boston Celtics,PG,27,"6' 3""",6.3,220,Oklahoma State,14339285
Jayson Tatum,Boston Celtics,SF,23,"6' 8""",6.8,210,Duke,28103500
Grant Williams,Boston Celtics,PF,22,"6' 6""",6.6,236,Tennessee,2617800
Robert Williams III,Boston Celtics,C,23,"6' 8""",6.8,237,Texas A&M,3661976
LaMarcus Aldridge,Brooklyn Nets,F,36,"6' 11""",6.11,250,Texas,nan
DeAndre' Bembry,Brooklyn Nets,SG,27,"6' 5""",6.5,210,Saint Joseph's,1669178
Bruce Brown,Brooklyn Nets,SF,25,"6' 4""",6.4,202,Miami (FL),4736102
Jevon Carter,Brooklyn Nets,PG,25,"6' 1""",6.1,200,West Virginia,3650000
Nicolas Claxton,Brooklyn Nets,PF,22,"6' 11""",6.11,215,Georgia,1782621
Sekou Doumbouya,Brooklyn Nets,SF,20,"6' 8""",6.8,230,nan,3613680
Kevin Durant,Brooklyn Nets,PF,32,"6' 10""",6.1,240,Texas,42018900
Kessler Edwards,Brooklyn Nets,SF,21,"6' 8""",6.8,215,Pepperdine,nan
RaiQuan Gray,Brooklyn Nets,PF,22,"6' 8""",6.8,260,Florida State,nan
Blake Griffin,Brooklyn Nets,PF,32,"6' 9""",6.9,250,Oklahoma,1669178
James Harden,Brooklyn Nets,SG,32,"6' 5""",6.5,220,Arizona State,44310840
Joe Harris,Brooklyn Nets,SF,30,"6' 6""",6.6,220,Virginia,17357143
Kyrie Irving,Brooklyn Nets,PG,29,"6' 2""",6.2,195,Duke,35328700
Mike James,Brooklyn Nets,PG,31,"6' 1""",6.1,175,Eastern Arizona Coll. (J.C.),nan
