,Name,Team,Position,Age,Height,Height_i,Weight,College,Salary
0,juhann begarin,Boston Celtics,SG,19,"6' 5""",6.5,185,,
1,jaylen brown,Boston Celtics,SG,24,"6' 6""",6.6,223,California,26758928.0
2,kris dunn,Boston Celtics,PG,27,"6' 3""",6.3,205,Providence,5005350.0
3,carsen edwards,Boston Celtics,PG,23,"5' 11""",5.11,200,Purdue,1782621.0
4,tacko fall,Boston Celtics,C,25,"7' 5""",7.5,311,UCF,
5,bruno fernando,Boston Celtics,F,23,"6' 9""",6.9,240,Maryland,1782621.0
6,al horford,Boston Celtics,C,35,"6' 9""",6.9,240,Florida,27000000.0
7,enes kanter,Boston Celtics,C,29,"6' 10""",6.1,250,Kentucky,1669178.0
8,luke kornet,Boston Celtics,C,26,"7' 2""",7.2,250,Vanderbilt,
9,romeo langford,Boston Celtics,SG,21,"6' 4""",6.4,216,Indiana,3804360.0
10,aaron nesmith,Boston Celtics,SF,21,"6' 5""",6.5,215,Vanderbilt,3631200.0
11,jabari parker,Boston Celtics,PF,26,"6' 8""",6.8,245,Duke,2283034.0
12,payton pritchard,Boston Celtics,PG,23,"6' 1""",6.1,195,Oregon,2137440.0
13,josh richardson,Boston Celtics,SG,27,"6' 5""",6.5,200,Tennessee,11615328.0
14,dennis schroder,Boston Celtics,PG,27,"6' 3""",6.3,172,,5890000.0
15,marcus smart,Boston Celtics,PG,27,"6' 3""",6.3,220,Oklahoma State,14339285.0
16,jayson tatum,Boston Celtics,SF,23,"6' 8""",6.8,210,Duke,28103500.0
17,grant williams,Boston Celtics,PF,22,"6' 6""",6.6,236,Tennessee,2617800.0
18,robert williams iii,Boston Celtics,C,23,"6' 8""",6.8,237,Texas A&M,3661976.0
19,lamarcus aldridge,Brooklyn Nets,F,36,"6' 11""",6.11,250,Texas,
20,deandre' bembry,Brooklyn Nets,SG,27,"6' 5""",6.5,210,Saint Joseph's,1669178.0
21,bruce brown,Brooklyn Nets,SF,25,"6' 4""",6.4,202,Miami (FL),4736102.0
22,jevon carter,Brooklyn Nets,PG,25,"6' 1""",6.1,200,West Virginia,3650000.0
23,nicolas claxton,Brooklyn Nets,PF,22,"6' 11""",6.11,215,Georgia,1782621.0
24,sekou doumbouya,Brooklyn Nets,SF,20,"6' 8""",6.8,230,,3613680.0
25,kevin durant,Brooklyn Nets,PF,32,"6' 10""",6.1,240,Texas,42018900.0
26,kessler edwards,Brooklyn Nets,SF,21,"6' 8""",6.8,215,Pepperdine,
27,raiquan gray,Brooklyn Nets,PF,22,"6' 8""",6.8,260,Florida State,
28,blake griffin,Brooklyn Nets,PF,32,"6' 9""",6.9,250,Oklahoma,1669178.0
29,james harden,Brooklyn Nets,SG,32,"6' 5""",6.5,220,Arizona State,44310840.0
30,joe harris,Brooklyn Nets,SF,30,"6' 6""",6.6,220,Virginia,17357143.0
31,kyrie irving,Brooklyn Nets,PG,29,"6' 2""",6.2,195,Duke,35328700.0
32,mike james,Brooklyn Nets,PG,31,"6' 1""",6.1,175,Eastern Arizona Coll. (J.C.),
33,alize johnson,Brooklyn Nets,PF,25,"6' 7""",6.7,212,Missouri State,1762796.0
34,james johnson,Brooklyn Nets,PF,34,"6' 7""",6.7,240,Wake Forest,1669178.0
35,tyler johnson,Brooklyn Nets,SG,29,"6' 3""",6.3,186,Fresno State,
36,timothe luwawu-cabarrot,Brooklyn Nets,SG,26,"6' 7""",6.7,220,,
37,patty mills,Brooklyn Nets,PG,33,"6' 1""",6.1,180,Saint Mary's,5890000.0
38,paul millsap,Brooklyn Nets,PF,36,"6' 7""",6.7,257,Louisiana Tech,
39,jahlil okafor,Brooklyn Nets,C,25,"6' 10""",6.1,270,Duke,2130023.0
40,reggie perry,Brooklyn Nets,PF,21,"6' 8""",6.8,250,Mississippi State,
41,day'ron sharpe,Brooklyn Nets,C,19,"6' 11""",6.11,265,North Carolina,2009040.0
42,cameron thomas,Brooklyn Nets,SG,19,"6' 4""",6.4,210,LSU,2036280.0
43,marcus zegarowski,Brooklyn Nets,PG,23,"6' 2""",6.2,181,Creighton,
44,dwayne bacon,New York Knicks,SG,26,"6' 6""",6.6,221,Florida State,1824003.0
45,rj barrett,New York Knicks,SG,21,"6' 6""",6.6,214,Duke,8623920.0
46,alec burks,New York Knicks,SG,30,"6' 6""",6.6,214,Colorado,9536000.0
47,evan fournier,New York Knicks,G,28,"6' 7""",6.7,205,,17000000.0
48,taj gibson,New York Knicks,C,36,"6' 9""",6.9,232,USC,4910000.0
49,quentin grimes,New York Knicks,SG,21,"6' 5""",6.5,205,Houston,2168760.0
50,jared harper,New York Knicks,PG,23,"5' 10""",5.1,175,Auburn,
51,kevin knox ii,New York Knicks,SF,22,"6' 7""",6.7,215,Kentucky,5845979.0
52,miles mcbride,New York Knicks,PG,20,"6' 2""",6.2,200,West Virginia,925258.0
53,nerlens noel,New York Knicks,C,27,"6' 11""",6.11,220,Kentucky,8000000.0
54,frank ntilikina,New York Knicks,PG,23,"6' 4""",6.4,200,,
55,norvel pelle,New York Knicks,PF,28,"6' 10""",6.1,231,St. John's,
56,theo pinson,New York Knicks,SG,25,"6' 5""",6.5,212,North Carolina,
57,immanuel quickley,New York Knicks,SG,22,"6' 3""",6.3,190,Kentucky,2210640.0
58,julius randle,New York Knicks,PF,26,"6' 8""",6.8,250,Kentucky,21780000.0
59,mitchell robinson,New York Knicks,C,23,"7' 0""",7.0,240,,1802057.0
60,derrick rose,New York Knicks,PG,32,"6' 2""",6.2,200,Memphis,13445120.0
61,jericho sims,New York Knicks,PF,22,"6' 10""",6.1,245,Texas,
62,obi toppin,New York Knicks,PF,23,"6' 9""",6.9,220,Dayton,5105160.0
63,luca vildoza,New York Knicks,PG,26,"6' 3""",6.3,190,,3325000.0
64,kemba walker,New York Knicks,PG,31,"6' 0""",6.0,184,Connecticut,36016200.0
65,charles bassey,Philadelphia Sixers,C,20,"6' 11""",6.11,235,Western Kentucky,
66,gary clark,Philadelphia Sixers,SF,26,"6' 6""",6.6,225,Cincinnati,
67,seth curry,Philadelphia Sixers,SG,31,"6' 2""",6.2,185,Duke,8207518.0
68,andre drummond,Philadelphia Sixers,C,28,"6' 10""",6.1,279,Connecticut,1669178.0
69,joel embiid,Philadelphia Sixers,C,27,"7' 0""",7.0,280,Kansas,31579390.0
70,danny green,Philadelphia Sixers,SF,34,"6' 6""",6.6,215,North Carolina,10000000.0
71,tobias harris,Philadelphia Sixers,PF,29,"6' 8""",6.8,226,Tennessee,35995950.0
72,aaron henry,Philadelphia Sixers,F,22,"6' 6""",6.6,210,Michigan State,
73,isaiah joe,Philadelphia Sixers,SG,22,"6' 4""",6.4,165,Arkansas,1517981.0
74,furkan korkmaz,Philadelphia Sixers,SG,24,"6' 7""",6.7,202,,4629630.0
75,tyrese maxey,Philadelphia Sixers,PG,20,"6' 2""",6.2,200,Kentucky,2602920.0
76,shake milton,Philadelphia Sixers,SG,24,"6' 5""",6.5,205,SMU,1846738.0
77,georges niang,Philadelphia Sixers,F,28,"6' 7""",6.7,230,Iowa State,3300000.0
78,filip petrusev,Philadelphia Sixers,PF,21,"6' 11""",6.11,235,Gonzaga,
79,paul reed,Philadelphia Sixers,SF,22,"6' 9""",6.9,210,DePaul,1517981.0
80,grant riller,Philadelphia Sixers,G,24,"6' 2""",6.2,190,Charleston,
81,mike scott,Philadelphia Sixers,PF,33,"6' 7""",6.7,237,Virginia,
82,ben simmons,Philadelphia Sixers,PG,25,"6' 11""",6.11,240,LSU,33003936.0
83,jaden springer,Philadelphia Sixers,PG,18,"6' 4""",6.4,204,Tennessee,2023800.0
84,matisse thybulle,Philadelphia Sixers,SG,24,"6' 5""",6.5,201,Washington,2840160.0
85,precious achiuwa,Toronto Raptors,F,21,"6' 8""",6.8,225,Memphis,2711280.0
86,og anunoby,Toronto Raptors,SF,24,"6' 7""",6.7,232,Indiana,16071429.0
87,dalano banton,Toronto Raptors,PG,21,"6' 9""",6.9,204,Nebraska,925258.0
88,scottie barnes,Toronto Raptors,SF,20,"6' 9""",6.9,227,Florida State,7280520.0
89,khem birch,Toronto Raptors,C,28,"6' 9""",6.9,233,UNLV,6350000.0
90,isaac bonga,Toronto Raptors,G,21,"6' 8""",6.8,180,,1669178.0
91,chris boucher,Toronto Raptors,PF,28,"6' 9""",6.9,200,New Mexico JC,7020000.0
92,sam dekker,Toronto Raptors,F,27,"6' 9""",6.9,219,Wisconsin,1669178.0
93,goran dragic,Toronto Raptors,PG,35,"6' 3""",6.3,190,,19440000.0
94,malachi flynn,Toronto Raptors,PG,23,"6' 1""",6.1,175,San Diego State,2048040.0
95,freddie gillespie,Toronto Raptors,SF,24,"6' 9""",6.9,245,Baylor,1517981.0
96,david johnson,Toronto Raptors,PG,20,"6' 5""",6.5,210,Louisville,
97,stanley johnson,Toronto Raptors,SF,25,"6' 6""",6.6,242,Arizona,
98,pascal siakam,Toronto Raptors,PG,27,"6' 9""",6.9,230,New Mexico State,33003936.0
99,gary trent jr.,Toronto Raptors,SG,22,"6' 5""",6.5,209,Duke,16000000.0
100,fred vanvleet,Toronto Raptors,SG,27,"6' 1""",6.1,197,Wichita State,19675926.0
101,yuta watanabe,Toronto Raptors,SF,26,"6' 9""",6.9,215,George Washington,1762796.0
102,ryan arcidiacono,Chicago Bulls,PG,27,"6' 3""",6.3,195,Villanova,3000000.0
103,lonzo ball,Chicago Bulls,PG,23,"6' 6""",6.6,190,UCLA,18604651.0
104,tony bradley,Chicago Bulls,C,23,"6' 10""",6.1,248,North Carolina,1669178.0
105,troy brown jr.,Chicago Bulls,SF,22,"6' 6""",6.6,215,Oregon,5170564.0
106,alex caruso,Chicago Bulls,SG,27,"6' 4""",6.4,186,Texas A&M,8650651.0
