,Name,Team
0,precious achiuwa,Toronto Raptors
1,steven adams,Memphis Grizzlies
2,bam adebayo,Miami Heat
3,ochai agbaji,Utah Jazz
4,santi aldama,Memphis Grizzlies
5,nickeil alexander-walker,Minnesota Timberwolves
6,grayson allen,Milwaukee Bucks
7,jarrett allen,Cleveland Cavaliers
8,jose alvarado,New Orleans Pelicans
9,kyle anderson,Minnesota Timberwolves
10,giannis antetokounmpo,Milwaukee Bucks
11,thanasis antetokounmpo,Milwaukee Bucks
12,cole anthony,Orlando Magic
13,og anunoby,Toronto Raptors
14,ryan arcidiacono,Portland Trail Blazers
15,deni avdija,Washington Wizards
16,deandre ayton,Phoenix Suns
17,udoka azubuike,Utah Jazz
18,ibou badji,Portland Trail Blazers
19,marvin bagley iii,Detroit Pistons
20,"patrick baldwin, jr.",Golden State Warriors
21,lamelo ball,Charlotte Hornets
22,lonzo ball,Chicago Bulls
23,mohamed bamba,Los Angeles Lakers
24,paolo banchero,Orlando Magic
25,desmond bane,Memphis Grizzlies
26,dalano banton,Toronto Raptors
27,dominick barlow,San Antonio Spurs
28,harrison barnes,Sacramento Kings
29,scottie barnes,Toronto Raptors
30,r.j. barrett,New York Knicks
31,will barton,Toronto Raptors
32,charles bassey,San Antonio Spurs
33,keita bates-diop,San Antonio Spurs
34,nicolas batum,Los Angeles Clippers
35,darius bazley,Phoenix Suns
36,bradley beal,Washington Wizards
37,malik beasley,Los Angeles Lakers
38,marjon beauchamp,Milwaukee Bucks
39,davis bertans,Dallas Mavericks
40,patrick beverley,Chicago Bulls
41,saddiq bey,Atlanta Hawks
42,khem birch,San Antonio Spurs
43,goga bitadze,Orlando Magic
44,bismack biyombo,Phoenix Suns
45,buddy boeheim,Detroit Pistons
46,bogdan bogdanovic,Atlanta Hawks
47,bojan bogdanovic,Detroit Pistons
48,bol bol,Orlando Magic
49,devin booker,Phoenix Suns
50,"b.j. boston, jr.",Los Angeles Clippers
51,chris boucher,Toronto Raptors
52,james bouknight,Charlotte Hornets
53,jamaree bouyea,Washington Wizards
54,malaki branham,San Antonio Spurs
55,christian braun,Denver Nuggets
56,mikal bridges,Brooklyn Nets
57,oshae brissett,Indiana Pacers
58,malcolm brogdon,Boston Celtics
59,dillon brooks,Memphis Grizzlies
60,jaylen brown,Boston Celtics
61,"bruce brown, jr.",Denver Nuggets
62,"troy brown, jr.",Los Angeles Lakers
63,kendall brown,Indiana Pacers
64,jalen brunson,New York Knicks
65,thomas bryant,Denver Nuggets
66,reggie bullock,Dallas Mavericks
67,alec burks,Detroit Pistons
68,jared butler,Oklahoma City Thunder
69,jimmy butler,Miami Heat
70,john butler,Portland Trail Blazers
71,jamal cain,Miami Heat
72,kentavious caldwell-pope,Denver Nuggets
73,vlatko cancar,Denver Nuggets
74,clint capela,Atlanta Hawks
75,jevon carter,Milwaukee Bucks
76,"wendell carter, jr.",Orlando Magic
77,michael carter-williams,Orlando Magic
78,alex caruso,Chicago Bulls
79,willie cauley-stein,Houston Rockets
80,julian champagnie,San Antonio Spurs
81,kennedy chandler,Memphis Grizzlies
82,max christie,Los Angeles Lakers
83,josh christopher,Houston Rockets
84,brandon clarke,Memphis Grizzlies
85,jordan clarkson,Utah Jazz
86,nicolas claxton,Brooklyn Nets
87,amir coffey,Los Angeles Clippers
88,john collins,Atlanta Hawks
89,zach collins,San Antonio Spurs
90,mike conley,Minnesota Timberwolves
91,pat connaughton,Milwaukee Bucks
92,robert covington,Los Angeles Clippers
93,torrey craig,Phoenix Suns
94,jae crowder,Milwaukee Bucks
95,cade cunningham,Detroit Pistons
96,seth curry,Brooklyn Nets
97,stephen curry,Golden State Warriors
98,dyson daniels,New Orleans Pelicans
99,anthony davis,Los Angeles Lakers
100,johnny davis,Washington Wizards
101,terence davis,Sacramento Kings
102,j.d. davison,Boston Celtics
103,darius days,Houston Rockets
104,demar derozan,Chicago Bulls
105,dewayne dedmon,Philadelphia Sixers
106,matt dellavedova,Sacramento Kings
107,donte divincenzo,Golden State Warriors
108,moussa diabate,Los Angeles Clippers
109,mamadi diakite,Cleveland Cavaliers
110,hamidou diallo,Detroit Pistons
111,gorgui dieng,San Antonio Spurs
112,ousmane dieng,Oklahoma City Thunder
113,spencer dinwiddie,Brooklyn Nets
114,luka doncic,Dallas Mavericks
115,luguentz dort,Oklahoma City Thunder
116,ayo dosunmu,Chicago Bulls
117,jeff dowtin,Toronto Raptors
118,p.j. dozier,Sacramento Kings
119,goran dragic,Milwaukee Bucks
120,andre drummond,Chicago Bulls
121,chris duarte,Indiana Pacers
122,david duke,Brooklyn Nets
123,kris dunn,Utah Jazz
124,kevin durant,Phoenix Suns
125,jalen duren,Detroit Pistons
126,tari eason,Houston Rockets
127,anthony edwards,Minnesota Timberwolves
128,kessler edwards,Sacramento Kings
129,keon ellis,Sacramento Kings
130,joel embiid,Philadelphia Sixers
131,drew eubanks,Portland Trail Blazers
132,bruno fernando,Atlanta Hawks
133,dorian finney-smith,Brooklyn Nets
134,malachi flynn,Toronto Raptors
135,simone fontecchio,Utah Jazz
136,trent forrest,Atlanta Hawks
137,evan fournier,New York Knicks
138,de'aaron fox,Sacramento Kings
139,markelle fultz,Orlando Magic
140,wenyen gabriel,Los Angeles Lakers
141,daniel gafford,Washington Wizards
142,danilo gallinari,Boston Celtics
143,darius garland,Cleveland Cavaliers
144,usman garuba,Houston Rockets
145,luka garza,Minnesota Timberwolves
146,rudy gay,Utah Jazz
147,paul george,Los Angeles Clippers
148,taj gibson,Washington Wizards
149,josh giddey,Oklahoma City Thunder
150,shai gilgeous-alexander,Oklahoma City Thunder
151,anthony gill,Washington Wizards
152,collin gillespie,Denver Nuggets
153,rudy gobert,Minnesota Timberwolves
154,jordan goodwin,Washington Wizards
155,aaron gordon,Denver Nuggets
156,eric gordon,Los Angeles Clippers
157,devonte' graham,San Antonio Spurs
158,jerami grant,Portland Trail Blazers
159,a.j. green,Milwaukee Bucks
160,danny green,Cleveland Cavaliers
161,draymond green,Golden State Warriors
162,jamychal green,Golden State Warriors
163,jalen green,Houston Rockets
164,javonte green,Chicago Bulls
165,jeff green,Denver Nuggets
166,josh green,Dallas Mavericks
167,blake griffin,Boston Celtics
168,"a.j. griffin, jr.",Atlanta Hawks
169,quentin grimes,New York Knicks
170,rui hachimura,Los Angeles Lakers
